key,genre,date,value,console,total,company
Call of Duty: World at War(Xbox 360),Shooter,1/14/13,0.078964,Xbox360,4.309208,Activision
Gears of War 2(Xbox 360),Shooter,1/5/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/6/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/7/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/8/13,2.416241,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/9/13,0.516236,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/10/13,0.275295,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/11/13,0.392905,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/12/13,0.09406,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/13/13,0.06333,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/14/13,0.029482,Xbox360,3.791217,Microsoft
Grand Theft Auto IV(PlayStation 3),Action,1/5/13,,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/6/13,,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/7/13,,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/8/13,2.003984,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/9/13,0.364005,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/10/13,0.609615,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/11/13,0.612689,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/12/13,0.406796,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/13/13,0.207886,PlayStation 3,4.310536,Take-Two Interactive
Grand Theft Auto IV(PlayStation 3),Action,1/14/13,0.092656,PlayStation 3,4.310536,Take-Two Interactive
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/5/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/6/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/7/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/8/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/9/13,5.1456,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/10/13,1.893033,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/11/13,0.421779,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/12/13,0.122319,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/13/13,0.099043,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/14/13,0.088418,Xbox360,7.784095,Activision
Wii Sports Resort(Wii),Sports,1/5/13,,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/6/13,,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/7/13,,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/8/13,,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/9/13,4.504264,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/10/13,5.472974,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/11/13,2.273335,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/12/13,1.236708,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/13/13,0.651977,Wii,14.303569,Nintendo
Wii Sports Resort(Wii),Sports,1/14/13,0.155214,Wii,14.303569,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/5/13,,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/6/13,,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/7/13,,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/8/13,,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/9/13,3.850217,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/10/13,5.251154,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/11/13,2.167495,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/12/13,0.89775,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/13/13,0.549466,Wii,13.107129,Nintendo
New Super Mario Bros. Wii(Wii),Platform,1/14/13,0.351598,Wii,13.107129,Nintendo
Wii Fit Plus(Wii),Sports,1/5/13,,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/6/13,,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/7/13,,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/8/13,,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/9/13,3.296294,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/10/13,3.272984,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/11/13,1.046357,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/12/13,0.431681,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/13/13,0.140202,Wii,8.262895,Nintendo
Wii Fit Plus(Wii),Sports,1/14/13,0.066814,Wii,8.262895,Nintendo
Halo 3: ODST(Xbox 360),Shooter,1/5/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/6/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/7/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/8/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/9/13,2.765126,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/10/13,0.836318,Xbox360,3.960154,Microsoft
